
milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.251 | 0.436 | 0.611 | 0.692 | 0.800 | 0.816 |
eating           | 0.205 | 0.364 | 0.596 | 0.723 | 0.887 | 1.252 |
smoking          | 0.311 | 0.577 | 0.929 | 1.039 | 1.142 | 1.714 |
discussion       | 0.398 | 0.873 | 1.173 | 1.207 | 1.490 | 1.660 |
directions       | 0.361 | 0.591 | 0.677 | 0.767 | 0.873 | 1.340 |
greeting         | 0.524 | 0.825 | 1.166 | 1.346 | 1.646 | 1.690 |
phoning          | 0.604 | 0.894 | 1.498 | 1.680 | 1.489 | 1.713 |
posing           | 0.499 | 0.840 | 1.369 | 1.592 | 1.690 | 2.331 |
purchases        | 0.561 | 0.806 | 1.168 | 1.255 | 1.485 | 2.169 |
sitting          | 0.463 | 0.859 | 1.437 | 1.728 | 1.968 | 2.290 |
sittingdown      | 0.582 | 1.046 | 1.516 | 1.739 | 2.037 | 2.575 |
takingphoto      | 0.216 | 0.482 | 0.740 | 0.846 | 0.901 | 1.128 |
waiting          | 0.304 | 0.629 | 1.086 | 1.276 | 1.588 | 2.279 |
walkingdog       | 0.480 | 0.804 | 1.177 | 1.300 | 1.535 | 1.794 |
walkingtogether  | 0.257 | 0.498 | 0.715 | 0.765 | 0.815 | 1.267 |
average          | 0.401 | 0.702 | 1.057 | 1.197 | 1.356 | 1.735 |

